"timestamp [UTC]",message,severityLevel
"10/16/2025, 12:30:05.672 PM","0 functions loaded",1
"10/16/2025, 12:30:05.672 PM","0 functions found (Custom)",1
"10/16/2025, 12:30:05.672 PM","Reading functions metadata (Custom)",1
"10/16/2025, 12:30:05.671 PM","Loading functions metadata",1
"10/16/2025, 12:30:05.670 PM","0 functions loaded",1
"10/16/2025, 12:30:05.670 PM","0 functions found (Custom)",1
"10/16/2025, 12:30:05.670 PM","Reading functions metadata (Custom)",1
"10/16/2025, 12:30:05.669 PM","Loading functions metadata",1
"10/16/2025, 12:30:05.542 PM","Host Status: {
  ""id"": ""89782499987a25f70bdbb25708ef6142"",
  ""state"": ""Running"",
  ""version"": ""4.1043.200.2"",
  ""versionDetails"": ""4.1043.200-dev.2.0+304019e5eaf5c763e104e3b0eec582b5de8034f8"",
  ""platformVersion"": """",
  ""instanceId"": ""0--66e173f5-0ce6-4a39-9f1c-1b31c10197c4"",
  ""computerName"": """",
  ""processUptime"": 680487,
  ""functionAppContentEditingState"": ""NotAllowed"",
  ""extensionBundle"": {
    ""id"": ""Microsoft.Azure.Functions.ExtensionBundle"",
    ""version"": ""4.27.1""
  }
}",1
"10/16/2025, 12:29:23.195 PM","Host Status: {
  ""id"": ""89782499987a25f70bdbb25708ef6142"",
  ""state"": ""Running"",
  ""version"": ""4.1043.200.2"",
  ""versionDetails"": ""4.1043.200-dev.2.0+304019e5eaf5c763e104e3b0eec582b5de8034f8"",
  ""platformVersion"": """",
  ""instanceId"": ""0--66e173f5-0ce6-4a39-9f1c-1b31c10197c4"",
  ""computerName"": """",
  ""processUptime"": 638139,
  ""functionAppContentEditingState"": ""NotAllowed"",
  ""extensionBundle"": {
    ""id"": ""Microsoft.Azure.Functions.ExtensionBundle"",
    ""version"": ""4.27.1""
  }
}",1
"10/16/2025, 12:28:49.953 PM","0 functions loaded",1
"10/16/2025, 12:28:49.953 PM","0 functions found (Custom)",1
"10/16/2025, 12:28:49.953 PM","Reading functions metadata (Custom)",1
"10/16/2025, 12:28:49.952 PM","Loading functions metadata",1
"10/16/2025, 12:28:49.951 PM","0 functions loaded",1
"10/16/2025, 12:28:49.951 PM","0 functions found (Custom)",1
"10/16/2025, 12:28:49.951 PM","Reading functions metadata (Custom)",1
"10/16/2025, 12:28:49.950 PM","Loading functions metadata",1
"10/16/2025, 12:28:19.969 PM","0 functions loaded",1
"10/16/2025, 12:28:19.969 PM","0 functions found (Custom)",1
